ID;descricao;status_ID;criticidade_ID;regulador_ID;detalheDiscussao;principaisImpactos;primeiroRegistro;ultimoRegistro;dataUltimaReuniao;representante_ID;comissao_ID;diretorGeral;diretorExecutivo
1;Aprovação de Clausulado para comercialização de seguro garantia para a Aneel.;1;1;2;23/08/2019 - Foi aprovad.;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;9;Roberto Santos;Fábio Morita
2;Temas pontuais e alinhamento gerais;1;2;3;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;20;Roberto Santos;Fábio Morita
3;Temas pontuais e alinhamento gerais;1;1;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-07-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
4;Temas pontuais e alinhamento gerais;1;3;2;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;21;Roberto Santos;Fábio Morita
5;Temas pontuais e alinhamento gerais;1;2;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-06-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
6;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;101;Roberto Santos;Fábio Morita
7;Aprovação de Clausulado para comercialização de seguro garantia para a Aneel.;1;1;2;23/08/2019 - Foi aprovad.;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;9;Roberto Santos;Fábio Morita
8;Temas pontuais e alinhamento gerais;1;2;3;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;20;Roberto Santos;Fábio Morita
9;Temas pontuais e alinhamento gerais;1;1;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-07-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
10;Temas pontuais e alinhamento gerais;1;3;2;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;21;Roberto Santos;Fábio Morita
11;Temas pontuais e alinhamento gerais;1;2;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-06-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
12;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;101;Roberto Santos;Fábio Morita
13;Aprovação de Clausulado para comercialização de seguro garantia para a Aneel.;1;1;2;23/08/2019 - Foi aprovad.;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;9;Roberto Santos;Fábio Morita
14;Temas pontuais e alinhamento gerais;1;2;3;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;20;Roberto Santos;Fábio Morita
15;Temas pontuais e alinhamento gerais;1;1;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-07-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
16;Temas pontuais e alinhamento gerais;1;3;2;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;21;Roberto Santos;Fábio Morita
17;Temas pontuais e alinhamento gerais;1;2;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-06-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
18;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;101;Roberto Santos;Fábio Morita
19;Aprovação de Clausulado para comercialização de seguro garantia para a Aneel.;1;1;2;23/08/2019 - Foi aprovad.;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;9;Roberto Santos;Fábio Morita
20;Temas pontuais e alinhamento gerais;1;2;3;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;20;Roberto Santos;Fábio Morita
21;Temas pontuais e alinhamento gerais;1;1;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-07-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
22;Temas pontuais e alinhamento gerais;1;3;2;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;21;Roberto Santos;Fábio Morita
23;Temas pontuais e alinhamento gerais;1;2;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-06-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
24;Temas pontuais e alinhamento gerais;1;3;4;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-09-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;101;Roberto Santos;Fábio Morita
25;Aprovação de Clausulado para comercialização de seguro garantia para a Aneel.;1;1;2;23/08/2019 - Foi aprovad.;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;9;Roberto Santos;Fábio Morita
26;Temas pontuais e alinhamento gerais;1;2;3;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;20;Roberto Santos;Fábio Morita
27;Temas pontuais e alinhamento gerais;1;1;1;Apresentação da nova diretora-executiva: Vera Valente;teste;2020-07-21T00:00:00Z;2020-01-21T00:00:00Z;2020-08-21T00:00:00Z;P0646683;6;Roberto Santos;Fábio Morita
